Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
1057	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	3	0	5	1	2	0	1	0	1	3
3071	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	3	1	1	0	2	1	0	0	0	4
3083	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	6	1	1	0	1	0	1	0	0	0
1068	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	1	0	2	1	0	0	0	1
2525	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	2	0	5	2	2	0	0	0	0	0
3541	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	3	0	5	3	1	0	0	0	0	1
3554	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	7	0	3	1	1	0	0	1	1	1
3079	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	4	0	3	1	2	0	1	0	1	0
2548	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	4	0	4	1	2	0	1	0	0	4
3024	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	5	0	9	7	2	0	0	0	1	3
1055	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	6	1	2	0	2	0	1	0	0	3
3514	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	3	0	1	0	1	0	1	0	0	3
3059	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	6	0	4	0	4	0	0	0	0	0
1034	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	2	0	1	0	1	1	0	0	0	1
3533	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	5	1	2	0	2	0	1	0	0	3
3034	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	4	0	3	0	3	0	0	0	0	0
3083	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	5	0	2	0	2	0	1	0	0	1
2548	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	3	0	5	3	3	0	0	1	0	1
1021	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	2	0	1	0	2	1	0	0	0	4
2544	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	5	0	4	2	2	0	1	0	0	3
1064	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	2	0	3	0	2	1	0	0	0	1
3527	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	2	0	2	0	1	0	0	0	0	2
2498	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	5	3	2	0	0	0	0	0
1054	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	2	0	2	0	3	0	0	1	0	1
3526	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	3	0	2	0	1	0	1	0	0	1
1034	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	4	0	6	2	2	1	0	0	1	3
